Timestamp,AccX,AccY,AccZ,MagX,MagY,MagZ,GyrX,GyrY,GyrZ,LinAccX,LinAccY,LinAccZ
1698280200347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05267244,-0.009576807,0.05746084
1698280200357,0.90740246,0.40701428,9.785102,0.96491826,0.47009417,9.747734,NaN,NaN,NaN,NaN,NaN,NaN
1698280200358,NaN,NaN,NaN,NaN,NaN,NaN,-0.002443461,0.009773844,0.002443461,0.019153614,0.011971008,-0.007182605
1698280200368,0.9648633,0.4141969,9.773131,0.9648805,0.46914592,9.747784,NaN,NaN,NaN,-0.033518825,0.01436521,0.033518825
1698280200367,NaN,NaN,NaN,NaN,NaN,NaN,-0.002443461,0.007330383,0.0012217305,NaN,NaN,NaN
1698280200378,0.92416185,0.34237084,9.785102,NaN,NaN,NaN,NaN,NaN,NaN,0.023942016,0.021547815,0.021547815
1698280200377,NaN,NaN,NaN,0.9641429,0.46858191,9.747884,-0.002443461,0.007330383,0.0012217305,NaN,NaN,NaN
1698280200388,0.90740246,0.4237737,9.77792,0.9631548,0.46781284,9.748019,NaN,NaN,NaN,NaN,NaN,NaN
1698280200387,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0061086523,0.0,-0.01436521,-0.047884032,0.033518825
1698280200398,0.94810385,0.39743748,9.7803135,NaN,NaN,NaN,0.0012217305,0.002443461,0.0,NaN,NaN,NaN
1698280200397,NaN,NaN,NaN,0.96317124,0.46841082,9.747988,NaN,NaN,NaN,-0.031124622,0.031124622,0.02633622
1698280200408,0.92176765,0.4141969,9.799467,0.96305895,0.46870607,9.747986,0.0012217305,-0.002443461,0.0,0.009576807,0.0047884034,0.02873042
1698280200417,0.9888053,0.4381389,9.818622,NaN,NaN,NaN,-0.0012217305,0.0012217305,0.0,NaN,NaN,NaN
1698280200418,NaN,NaN,NaN,0.9633093,0.46825254,9.747982,NaN,NaN,NaN,-0.01436521,0.021547815,0.047884032
1698280200428,0.93852705,0.37588966,9.861717,0.9646066,0.4691001,9.747813,NaN,NaN,NaN,NaN,NaN,NaN
1698280200427,NaN,NaN,NaN,NaN,NaN,NaN,-0.002443461,0.0061086523,0.0,0.050278235,0.045489833,0.06703765
1698280200437,0.91458505,0.38067806,9.782708,0.9637287,0.4676025,9.7479725,NaN,NaN,NaN,0.0,-0.01436521,0.110133275
1698280200438,NaN,NaN,NaN,NaN,NaN,NaN,-0.0012217305,0.004886922,0.0012217305,NaN,NaN,NaN
1698280200447,0.91697925,0.36152446,9.773131,NaN,NaN,NaN,-0.0012217305,0.002443461,0.0,-0.021547815,-0.009576807,0.031124622
1698280200448,NaN,NaN,NaN,0.9633999,0.46731964,9.748018,NaN,NaN,NaN,NaN,NaN,NaN
1698280200457,0.92895025,0.36152446,9.82341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1698280200458,NaN,NaN,NaN,0.96340346,0.46671396,9.748047,-0.0012217305,0.0012217305,0.0,-0.019153614,-0.02873042,0.021547815
1698280200467,0.9600749,0.33758244,9.828198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1698280200468,NaN,NaN,NaN,0.9639483,0.46582058,9.748036,-0.0012217305,-0.0012217305,0.0,-0.007182605,-0.02633622,0.07182605
1698280200477,0.91937345,0.4165911,9.782708,NaN,NaN,NaN,NaN,NaN,NaN,0.021547815,-0.050278235,0.076614454
1698280200478,NaN,NaN,NaN,0.96315795,0.4649761,9.748154,0.0,-0.002443461,0.0,NaN,NaN,NaN
1698280200487,0.9504981,0.4165911,9.794679,NaN,NaN,NaN,NaN,NaN,NaN,-0.016759412,0.02633622,0.031124622
1698280200488,NaN,NaN,NaN,0.964853,0.4660902,9.747933,-0.0012217305,-0.0012217305,0.0,NaN,NaN,NaN
1698280200498,0.9528923,0.39025488,9.801862,0.9646009,0.4649154,9.748014,NaN,NaN,NaN,NaN,NaN,NaN
1698280200497,NaN,NaN,NaN,NaN,NaN,NaN,-0.0012217305,-0.007330383,0.0,0.011971008,0.02633622,0.04309563
1698280200508,0.9911995,0.40462008,9.725247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1698280200507,NaN,NaN,NaN,0.96599025,0.4648106,9.747882,-0.0012217305,-0.004886922,0.0,0.01436521,0.0,0.050278235
1698280200518,0.9959879,0.4141969,9.746795,0.96808636,0.46465585,9.747682,NaN,NaN,NaN,NaN,NaN,NaN
1698280200517,NaN,NaN,NaN,NaN,NaN,NaN,-0.002443461,-0.002443461,0.0,0.05267244,0.01436521,-0.023942016
1698280200528,0.94810385,0.3854665,9.813833,0.9689745,0.4643551,9.747607,0.0,0.0,0.0,NaN,NaN,NaN
1698280200527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05746084,0.023942016,-0.0023942017
